s/n,country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,Belgium,39.7,42.4,43.4,41.8,45.7,47,49.6,49.1,51.8,48.9,50.7,51.9,49.4,53.2,53.7,53.7,53.5,51.8,56.1,48.6,54,48.6,46.5,48.8,47.5,50.8,48.8,48.4,50.8
2,Czech Republic,7.6,7,7,6.8,7.7,8.6,10.4,10.5,10.6,10,9.5,10.7,11.2,11.2,11.7,12.7,12.9,11.6,12.7,11.5,11.6,12.6,11,12,12.7,13.5,13.7,16.2,15.8
3,France,120,126.8,124.5,116.4,113.4,118.1,123.5,122.5,132.3,133.8,135.7,134.4,135.7,138.8,141.8,144.7,142.1,137.9,139.4,133.7,132.4,127.5,126.2,125.8,115.6,117,118.3,121.4,116.9
4,Germany,167.1,181,187.9,189.6,193.2,195.4,208.6,209.3,214,203.5,205.5,216.8,209.5,210.5,214,211.4,218.7,200,210.3,197.8,204.1,199.4,199.3,207.2,196.1,198.5,205,210,198.8
5,Italy,131.6,130.9,133.4,127.3,126.3,134.4,133.9,133.9,139.7,143.3,152.5,146.9,152.2,154.8,158.4,159.5,162.9,157.7,155.3,141.3,148.5,141.3,132.1,123.2,115.1,121.5,121.3,124.4,120.7
6,Netherlands,19,15.5,15.2,14.4,18.7,18.1,16.5,25.3,26.8,28.8,36.2,34,33.9,38.9,33,38.6,39.1,39,34.9,35.7,31.2,29,28.8,24.8,29.9,46.3,41.6,46.6,52.9
7,Poland,1.3,1.4,1.9,3,0.7,0.1,6.1,6.8,8.2,9.3,9.6,9.5,10.1,12,13.4,16.3,19.6,25,30.2,30.2,32,34.5,30.8,25.8,27.8,28.5,30.8,40.2,46.6
8,Portugal,15.3,15.2,16.7,16,16.3,18.1,16.9,18.4,20,22.5,22.1,22,22.6,22.5,22.8,24.5,22.3,21.7,21.8,20.9,18.7,18.9,18.2,16.9,16.4,18.5,17.7,19.5,17.6
9,Romania,22,14.5,13.7,12.3,11,14.3,14.7,14.6,11.7,7.6,7.8,9.6,9.2,9.9,11.5,10.5,11.6,12.5,10.9,6.9,7.5,7.6,7.9,5.9,5.3,5.4,7,7.4,7.9
10,Spain,60.2,63.1,67.3,64.3,69.2,76.4,74.7,81,88.6,95.1,100.2,100.6,108.7,109.7,115.9,124.6,124.7,123.9,123.1,110.8,107,105.3,100.6,90.1,92.1,95.5,94.6,101.4,102
11,Sweden,17.5,16.9,16.9,17.6,19.6,18.5,20.3,18.8,19,17.3,18.3,18.3,20,22.9,20.4,20.4,20,19.2,19.9,17.9,19.9,19.1,15.8,16.8,16.4,14.6,16.9,13.5,16.2
12,United Kingdom,4.7,11.2,8.8,0.4,-33,-37.2,-34.4,-35.4,-38.4,-48.2,-40.2,-22.4,-27.6,-14,10.8,31.9,49.5,46.3,58.5,56.5,62.6,74.5,89,96.4,89.2,72.9,68.1,68.8,66
13,Norway,-95.7,-109.2,-123.6,-130,-146.1,-159.9,-182.3,-188,-180.4,-182.5,-200.3,-200.9,-209,-206,-201.9,-195.9,-186.7,-187.3,-188,-185.9,-172.5,-167,-171.4,-161.6,-166.1,-174,-179.3,-184.9,-175.5
14,Turkey,28,24.8,26.9,31.5,31.3,36.6,40.7,42.6,43.3,43.2,50.9,46,51.2,56.5,58.1,61.8,69,75.8,72.5,70.2,75.5,81.2,90,88.1,93.7,103.6,105.7,116.6,110.3
15,Kazakhstan,-16.6,-16.1,-9.9,-13,-12.7,-11.3,-18.1,-25.8,-25.2,-31,-42.8,-46.4,-51.3,-58.3,-64,-68.1,-66.6,-65.9,-74.9,-84.6,-85.4,-84.5,-88,-85.5,-89,-86.5,-82.2,-89.7,-97.5
16,Russia,-412.7,-346.2,-331.2,-292.9,-314,-315.1,-334.5,-339.8,-346.6,-352.1,-349.6,-369.9,-412.6,-458.3,-514.4,-539.5,-538.5,-552.6,-536.8,-537.9,-579.4,-570.3,-566.3,-595,-571.2,-604.4,-624.7,-643.7,-673.3
17,Ukraine,120.8,135.5,111.7,90.3,75.5,82.3,76.7,69.1,61.3,59.8,57.6,58,59.1,65.5,64.3,59.7,56.2,57.3,57.2,41.4,41.9,47.7,38.5,31.4,27.5,30.1,27.7,33.1,31.6
18,Uzbekistan,7.7,9,4.7,4.2,0.4,-4,-4.9,-7,-4.6,-3.8,-4.2,-4.5,-3.1,-5,-7.3,-9.4,-10.5,-12.2,-12.4,-12.6,-11.9,-10,-8.5,-11.2,-12.2,-17,-13.4,-13.3,-14
19,Canada,-59.4,-76.4,-83.9,-93.9,-106.8,-119.7,-120.6,-121.9,-128,-125.9,-130.1,-131.1,-136,-129,-134.3,-129.5,-138.4,-150,-142.2,-136.6,-143.2,-148.7,-157.8,-175.7,-182.6,-186.9,-194.5,-210.5,-227.3
20,United States,342,322.3,356.8,418.1,449,433.2,466.1,505.4,541.9,572,606.2,644.7,628.9,661.3,713.4,735.8,729.2,713.2,635.2,560.7,533.6,452.8,376.3,321.5,258.8,257.4,265.9,167.6,51.4
21,Argentina,-1.4,-1.8,-3.2,-4.9,-8.9,-12.2,-15.3,-17.4,-17.9,-18.6,-20.3,-25.3,-24.6,-24.1,-18.7,-16.2,-11.7,-8.2,-3.3,-4.2,1.3,5.4,7.2,13.5,13.2,13.4,12.2,12.7,9
22,Brazil,39.4,39.9,39.9,45.9,47,48.4,54.5,55.5,52.1,47.8,44.4,40.2,30.7,25.1,31.3,24.9,20.6,25,26.9,15.6,24.8,28.6,33.6,45.7,42.8,25.2,7.5,2.5,1.5
23,Chile,7,7.3,7.7,8.1,10,10.8,13,14.7,16.4,17.8,17.7,16.8,17.7,18.4,20.7,20.5,21.5,23.9,22.1,20.7,22.3,24.8,25,25.4,23.4,24.2,26.1,26.4,26.9
24,Colombia,-21.2,-22.1,-20.1,-23,-23.2,-29.3,-35.2,-37.9,-44.3,-49.7,-46.4,-44.6,-42.4,-45.6,-48.7,-50.2,-55.3,-56,-60.2,-65.9,-73.2,-87.6,-90.9,-85.3,-99.2,-89.3,-86.3,-101.5,-86
25,Mexico,-69.9,-72.7,-70.6,-72,-66.4,-69.3,-75.9,-80.6,-77.1,-70.7,-71.9,-74.8,-77.3,-83.3,-82.5,-76.9,-73.4,-61.5,-43.3,-41.8,-35.9,-29.4,-22.6,-20.3,-14.9,-1.6,9.5,26.5,28.6
26,Venezuela,-101.9,-117,-104.6,-127.2,-131.3,-144,-161,-179.1,-173.6,-156.7,-163.2,-153.4,-145,-125.1,-160.9,-174.5,-169.4,-139,-134.7,-133.8,-125.4,-130.7,-119.3,-120.4,-117.5,-121.8,-111,-93.4,-62.5
