Year,Belgium,Czech Republic,France,Germany,Italy,Netherlands,Poland,Portugal,Romania,Spain,Sweden,United Kingdom,Norway,Turkey,Kazakhstan,Russia,Ukraine,Uzbekistan,Canada,United States,Argentina,Brazil,Chile,Colombia,Mexico,Venezuela,China,India,Indonesia,Japan,Malaysia,South Korea,Taiwan,Thailand,Australia,New Zealand,Algeria,Egypt,Nigeria,South Africa,Iran,Kuwait,Saudi Arabia,United Arab Emirates
1990,39.7,7.6,120,167.1,131.6,19,1.3,15.3,22,60.2,17.5,4.7,-95.7,28,-16.6,-412.7,120.8,7.7,-59.4,342,-1.4,39.4,7,-21.2,-69.9,-101.9,-35,31.6,-69,377.2,-25.9,70.2,41.7,17.8,-63.4,2.1,-77.3,-20.8,-79.4,-21.9,-117.6,-41.3,-307,-80.5
1991,42.4,7,126.8,181,130.9,15.5,1.4,15.2,14.5,63.1,16.9,11.2,-109.2,24.8,-16.1,-346.2,135.5,9,-76.4,322.3,-1.8,39.9,7.3,-22.1,-72.7,-117,-30.5,35.1,-78.9,374.5,-24.9,81.6,41.8,18.1,-78.7,1.9,-78.5,-20.8,-82.4,-21.7,-122.6,-7.6,-391.9,-91.2
1992,43.4,7,124.5,187.9,133.4,15.2,1.9,16.7,13.7,67.3,16.9,8.8,-123.6,26.9,-9.9,-331.2,111.7,4.7,-83.9,356.8,-3.2,39.9,7.7,-20.1,-70.6,-104.6,-23.2,42.1,-79.2,385,-24.9,97.5,46.6,20.9,-81.8,2,-79.6,-22.9,-85.2,-23.8,-133,-50.5,-395.8,-99.1
1993,41.8,6.8,116.4,189.6,127.3,14.4,3,16,12.3,64.3,17.6,0.4,-130,31.5,-13,-292.9,90.3,4.2,-93.9,418.1,-4.9,45.9,8.1,-23,-72,-127.2,-3.4,44.8,-75.2,381.5,-23,111.9,50.5,24.7,-83.3,2,-80,-23.5,-86.5,-26.4,-139.6,-93.9,-387.5,-95
1994,45.7,7.7,113.4,193.2,126.3,18.7,0.7,16.3,11,69.2,19.6,-33,-146.1,31.3,-12.7,-314,75.5,0.4,-106.8,449,-8.9,47,10,-23.2,-66.4,-131.3,-14.2,45.9,-88.3,407.9,-24.4,124.7,54.1,28.1,-82.3,2.8,-76.8,-23.3,-89.2,-27,-133.4,-98.6,-373.9,-93.7
1995,47,8.6,118.1,195.4,134.4,18.1,0.1,18.1,14.3,76.4,18.5,-37.2,-159.9,36.6,-11.3,-315.1,82.3,-4,-119.7,433.2,-12.2,48.4,10.8,-29.3,-69.3,-144,-12.7,53.4,-83.6,408.4,-28.3,134.8,59.5,32.1,-88,3.1,-82,-22,-90.8,-27.6,-135.2,-99.2,-376,-95.6
1996,49.6,10.4,123.5,208.6,133.9,16.5,6.1,16.9,14.7,74.7,20.3,-34.4,-182.3,40.7,-18.1,-334.5,76.7,-4.9,-120.6,466.1,-15.3,54.5,13,-35.2,-75.9,-161,-11.8,61.1,-87.9,416.5,-30.8,147.3,61.6,36.6,-88.9,2.8,-88.6,-18,-100.2,-26,-136.3,-99.7,-375.1,-97.2
1997,49.1,10.5,122.5,209.3,133.9,25.3,6.8,18.4,14.6,81,18.8,-35.4,-188,42.6,-25.8,-339.8,69.1,-7,-121.9,505.4,-17.4,55.5,14.7,-37.9,-80.6,-179.1,7.4,67.4,-86.7,416.9,-28.2,160.2,65.2,34.4,-102,2.7,-97.1,-15.4,-108.4,-30.2,-127.2,-99.3,-374.5,-102.6
1998,51.8,10.6,132.3,214,139.7,26.8,8.2,20,11.7,88.6,19,-38.4,-180.4,43.3,-25.2,-346.6,61.3,-4.6,-128,541.9,-17.9,52.1,16.4,-44.3,-77.1,-173.6,3.1,74.5,-91,401.8,-30.7,141.6,69.2,29.8,-111.6,3.4,-101.6,-13.1,-97.5,-24,-128.5,-99.4,-383,-105.2
1999,48.9,10,133.8,203.5,143.3,28.8,9.3,22.5,7.6,95.1,17.3,-48.2,-182.5,43.2,-31,-352.1,59.8,-3.8,-125.9,572,-18.6,47.8,17.8,-49.7,-70.7,-156.7,14,87,-93,412.2,-28.7,152.9,73.2,32,-109.8,3.4,-109.5,-13.8,-99.6,-30.7,-122.5,-88.7,-344.9,-96.9
