Year,Belgium,Czech Republic,France,Germany,Italy,Netherlands,Poland,Portugal,Romania,Spain,Sweden,United Kingdom,Norway,Turkey,Kazakhstan,Russia,Ukraine,Uzbekistan,Canada,United States,Argentina,Brazil,Chile,Colombia,Mexico,Venezuela,China,India,Indonesia,Japan,Malaysia,South Korea,Taiwan,Thailand,Australia,New Zealand,Algeria,Egypt,Nigeria,South Africa,Iran,Kuwait,Saudi Arabia,United Arab Emirates
1990,13,41,112,190,26,61,104,3,41,35,30,208,119,26,91,1296,127,39,276,1647,48,104,8,48,195,145,881,280,169,76,48,24,11,27,157,12,100,55,146,115,188,50,368,110
1991,13,39,119,169,26,68,100,3,36,35,31,215,131,26,92,1220,111,40,287,1637,50,105,8,46,204,160,887,290,183,80,53,23,11,30,167,13,103,56,152,117,200,10,464,127
1992,13,37,120,164,28,68,98,3,34,34,29,215,147,26,90,1143,104,41,296,1642,54,105,9,48,203,162,904,294,187,81,54,21,10,31,171,13,104,57,158,115,215,60,477,134
1993,12,36,126,153,29,69,97,3,33,33,29,223,155,26,79,1063,95,43,318,1592,57,106,8,49,206,171,933,298,194,89,56,21,10,30,174,14,105,60,160,123,228,107,472,131
1994,12,34,124,145,30,67,98,3,32,32,31,252,171,26,71,994,83,46,341,1652,62,111,8,50,205,178,986,308,208,91,58,20,11,32,173,13,101,59,162,128,231,114,462,134
1995,12,33,128,145,30,67,100,3,32,32,32,258,185,26,64,970,78,49,352,1655,67,112,8,59,204,192,1065,323,215,100,64,22,11,33,187,13,107,60,165,135,238,115,464,137
1996,12,33,132,143,31,75,102,4,33,33,32,269,208,27,64,969,71,49,361,1673,73,119,8,65,214,217,1091,328,223,102,70,23,11,37,190,14,113,59,177,135,235,115,469,140
1997,13,34,129,145,31,67,100,4,32,32,32,268,213,28,66,937,71,51,367,1671,77,127,8,67,226,229,1081,338,228,107,75,25,11,40,201,15,122,58,189,143,238,115,464,147
1998,13,32,125,137,31,64,87,4,29,33,34,272,207,29,65,944,71,55,371,1691,80,134,8,73,226,227,1079,337,229,109,75,28,11,40,217,14,127,57,185,145,241,117,479,150
1999,14,29,127,138,29,60,84,3,28,31,33,282,210,28,66,962,72,55,369,1665,81,142,8,76,225,206,1074,344,238,105,74,32,12,42,214,14,137,59,183,145,244,108,442,142
2000,14,31,131,136,28,58,80,4,28,32,30,272,228,26,79,978,72,55,377,1663,83,148,9,72,228,216,1124,351,237,106,78,36,12,44,234,14,142,53,198,145,254,114,476,154
2001,13,32,132,135,27,61,81,4,28,34,34,262,227,25,84,1008,72,56,381,1684,85,152,9,72,234,212,1176,358,242,105,79,37,11,43,249,15,137,57,208,144,248,112,464,155
2002,13,32,134,134,29,61,80,4,29,32,32,259,236,24,91,1046,73,56,386,1656,83,168,9,68,237,203,1227,368,248,100,82,38,12,46,254,15,143,59,192,143,254,101,435,148
2003,14,34,136,135,30,59,80,4,29,33,31,247,235,24,102,1119,72,57,388,1635,86,178,9,73,251,179,1375,381,255,87,85,41,12,49,252,13,155,62,216,152,281,121,506,162
2004,14,35,137,137,29,68,79,4,28,33,34,226,229,24,115,1172,74,58,400,1646,86,183,9,75,254,218,1534,393,265,99,93,42,12,51,253,13,158,62,230,156,293,131,543,170
2005,14,33,137,137,31,62,79,4,28,31,35,205,224,24,119,1203,79,57,401,1632,85,195,9,79,259,223,1671,401,280,104,97,47,12,55,265,13,167,78,234,156,311,147,571,175
2006,14,34,136,139,30,61,78,4,28,32,33,187,216,26,128,1227,82,59,418,1655,86,207,10,84,259,226,1793,406,314,105,94,48,12,57,270,13,165,81,233,156,323,151,565,185
2007,14,34,135,136,31,60,72,5,28,31,33,176,215,27,132,1239,83,60,420,1670,83,217,9,87,248,199,1917,425,318,94,94,47,13,60,286,14,164,85,236,157,337,147,546,183
2008,14,33,137,133,33,68,71,4,29,30,33,167,222,29,144,1254,84,62,409,1702,83,229,10,93,228,200,1967,445,323,92,97,50,13,66,287,15,162,89,232,160,338,153,573,186
2009,15,32,129,126,32,63,67,5,28,30,30,158,217,30,148,1190,79,57,394,1686,81,231,10,98,224,200,2052,484,351,98,91,49,13,65,295,15,153,88,225,158,334,130,519,172
2010,16,32,136,129,33,71,67,6,28,35,33,148,203,32,157,1279,79,55,401,1725,80,247,9,106,215,198,2236,504,378,102,90,51,13,71,323,17,151,84,254,161,342,135,531,178
2011,16,33,136,123,32,66,68,6,28,32,33,130,195,32,160,1299,86,57,414,1787,78,250,10,120,217,199,2386,521,421,54,88,53,14,69,313,16,146,84,259,160,346,154,593,197
2012,14,33,135,123,35,66,72,5,27,34,36,117,200,30,165,1316,85,57,425,1820,76,251,13,125,219,194,2402,524,433,31,88,53,13,75,321,16,144,82,266,163,297,173,625,205
2013,15,31,137,121,37,70,71,6,26,35,35,110,191,32,169,1331,86,54,445,1878,72,252,15,128,217,192,2467,522,453,30,94,51,14,78,344,16,138,77,250,162,298,170,614,212
2014,13,30,138,120,37,60,68,6,27,35,34,108,195,31,166,1319,77,56,468,2015,73,266,12,130,209,186,2506,533,449,29,95,58,14,79,366,17,143,74,254,165,316,166,622,215
2015,11,29,139,120,36,48,69,5,27,34,34,118,204,32,164,1334,64,56,470,2028,74,278,12,128,190,183,2516,538,426,34,97,62,12,75,381,17,143,70,254,162,323,168,649,230
2016,15,27,131,116,34,46,67,6,25,34,35,120,208,36,163,1373,66,51,474,1921,76,284,13,125,180,168,2364,558,434,37,98,62,11,79,391,16,153,68,240,163,391,175,671,237
2017,15,28,130,115,34,42,66,5,26,33,36,120,214,37,180,1429,58,51,504,2007,74,292,12,123,165,149,2448,567,438,42,102,63,8,75,407,16,153,72,246,164,419,165,653,229
2018,12,28,135,115,36,31,64,6,25,34,37,124,207,43,190,1492,58,54,526,2175,77,292,13,119,158,112,2534,588,441,48,98,61,10,74,426,15,151,80,256,164,418,168,676,234
